"","coefficient","posterior.mean","lower","upper","model","species"
"56","common_duckweed__Lemna_minor","0.586985024694999","-0.0359185","1.22565","Ovaskainen 2016 NS","Anopheles_maculipennis_sl"
"57","intercept","-1.14309889295","-2.56175","0.290515","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"58","depth__cm","-0.0211060917275249","-0.0393415","-0.00348985","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"59","temperature__C","0.0842066135219999","0.00874795","0.162885","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"60","oxidation_reduction_potential__Mv","6.84223165000002e-06","-0.00543645","0.00576255","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"61","salinity__ppt","-0.14470873461","-0.263255","-0.034027","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"62","water_crowfoot__Ranunculus","0.420316831594999","-0.0391845","0.88218","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"63","rushes__Juncus_or_Scirpus","0.653859145675","0.09662","1.2412","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"64","filamentous_algae","0.352276282357501","-0.0788","0.79833","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"65","emergent_grass","-0.57942087374","-1.34735","0.17491","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"66","ivy_leafed_duckweed__Lemna_trisulca","-0.13732315492925","-0.988355","0.74064","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"67","bulrushes__Typha","-0.3281539636725","-0.934555","0.2738","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"68","reeds_Phragmites","0.6939435162175","0.19549","1.2332","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"69","marestail__Hippuris","0.2053862433525","-0.308745","0.740335","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"70","common_duckweed__Lemna_minor","0.212769587936","-0.342535","0.75968","Ovaskainen 2016 NS","waterboatmen__Corixidae"
"71","intercept","-0.993746688749997","-2.393","0.42384","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"72","depth__cm","-0.006029444914075","-0.026824","0.0142595","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"73","temperature__C","-0.0127659142135","-0.0898565","0.061768","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"74","oxidation_reduction_potential__Mv","-0.003905043697075","-0.0096563","0.00180985","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"75","salinity__ppt","-0.0358143368437501","-0.15068","0.056511","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"76","water_crowfoot__Ranunculus","0.302473236215","-0.14452","0.752035","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"77","rushes__Juncus_or_Scirpus","0.442175822845","-0.134635","1.046","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"78","filamentous_algae","0.0815092313454998","-0.35325","0.50308","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"79","emergent_grass","-0.700003895604997","-1.5034","0.0536085","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"80","ivy_leafed_duckweed__Lemna_trisulca","-0.19181216605","-1.06525","0.632005","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"81","bulrushes__Typha","0.19007564354","-0.379605","0.789515","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"82","reeds_Phragmites","0.338067508012501","-0.14583","0.812235","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"83","marestail__Hippuris","-0.0541803008775","-0.60102","0.45888","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"84","common_duckweed__Lemna_minor","0.440333134387499","-0.0851055","0.949545","Ovaskainen 2016 NS","diving_beetles__Dysticidae"
"85","intercept","-1.004632636975","-2.50775","0.5179","Ovaskainen 2016 NS","damselflies__Zygoptera"
"86","depth__cm","0.000421713867774999","-0.022295","0.024129","Ovaskainen 2016 NS","damselflies__Zygoptera"
"87","temperature__C","0.00548567781135","-0.085391","0.0912065","Ovaskainen 2016 NS","damselflies__Zygoptera"
"88","oxidation_reduction_potential__Mv","-0.0002819353173625","-0.0078581","0.00783095","Ovaskainen 2016 NS","damselflies__Zygoptera"
"89","salinity__ppt","-0.00646734711615","-0.11539","0.0888155","Ovaskainen 2016 NS","damselflies__Zygoptera"
"90","water_crowfoot__Ranunculus","0.762565463050002","0.227135","1.3568","Ovaskainen 2016 NS","damselflies__Zygoptera"
"91","rushes__Juncus_or_Scirpus","0.838940692999999","0.17738","1.61105","Ovaskainen 2016 NS","damselflies__Zygoptera"
"92","filamentous_algae","0.770229543625001","0.239955","1.4283","Ovaskainen 2016 NS","damselflies__Zygoptera"
"93","emergent_grass","-0.5170134626175","-1.37475","0.320595","Ovaskainen 2016 NS","damselflies__Zygoptera"
"94","ivy_leafed_duckweed__Lemna_trisulca","-0.307193878480324","-1.2966","0.60975","Ovaskainen 2016 NS","damselflies__Zygoptera"
"95","bulrushes__Typha","-0.23844377712","-0.9894","0.484","Ovaskainen 2016 NS","damselflies__Zygoptera"
"96","reeds_Phragmites","0.1672275676505","-0.420315","0.758685","Ovaskainen 2016 NS","damselflies__Zygoptera"
"97","marestail__Hippuris","0.478012714950001","-0.138985","1.18015","Ovaskainen 2016 NS","damselflies__Zygoptera"
"98","common_duckweed__Lemna_minor","0.3929952579125","-0.240905","1.05875","Ovaskainen 2016 NS","damselflies__Zygoptera"
"99","intercept","-1.162367922275","-2.6108","0.22754","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"100","depth__cm","-0.0027517001371","-0.022976","0.0163595","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"101","temperature__C","0.0419563586332251","-0.033431","0.11775","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"102","oxidation_reduction_potential__Mv","0.000128240372865","-0.0056382","0.0059087","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"103","salinity__ppt","-0.176487965800001","-0.311935","-0.053024","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"104","water_crowfoot__Ranunculus","0.313261228133751","-0.148635","0.740515","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"105","rushes__Juncus_or_Scirpus","0.24088968642","-0.32696","0.83278","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"106","filamentous_algae","0.29378550905","-0.12177","0.70878","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"107","emergent_grass","-0.593775868885","-1.3509","0.126595","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"108","ivy_leafed_duckweed__Lemna_trisulca","-0.1615844540125","-1.0153","0.698385","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"109","bulrushes__Typha","-0.408127092230001","-1.0348","0.20539","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"110","reeds_Phragmites","0.573159808125","0.094404","1.06335","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"111","marestail__Hippuris","-0.2071809580775","-0.73997","0.307115","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"112","common_duckweed__Lemna_minor","0.397403971765025","-0.14254","0.944865","Ovaskainen 2016 NS","swimming_beetles__Haliplidae"
"113","intercept","-1.34617109995","-3.18565","0.39633","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"114","depth__cm","0.004308417023","-0.0152175","0.022757","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"115","temperature__C","0.0882492220179998","-0.00172615","0.182855","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"116","oxidation_reduction_potential__Mv","0.00776349501245","-0.000622405","0.017151","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"117","salinity__ppt","0.01049119473675","-0.0543495","0.070025","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"118","water_crowfoot__Ranunculus","-0.0748716007137498","-0.615665","0.44828","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"119","rushes__Juncus_or_Scirpus","-0.315325103584275","-1.0352","0.36147","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"120","filamentous_algae","-1.1495502275","-1.71795","-0.62754","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"121","emergent_grass","-0.559214162219998","-1.5236","0.367505","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"122","ivy_leafed_duckweed__Lemna_trisulca","-0.2921878508125","-1.6567","1.00176","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"123","bulrushes__Typha","-0.8336510087475","-1.7172","-0.0498175","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"124","reeds_Phragmites","0.44881088505575","-0.10212","0.96436","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"125","marestail__Hippuris","-0.6791311414875","-1.46205","0.016659","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"126","common_duckweed__Lemna_minor","-0.241221603141001","-0.97045","0.454565","Ovaskainen 2016 NS","opossum_shrimps__Mysidae"
"127","intercept","-1.292254647625","-2.8084","0.20493","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"128","depth__cm","-0.00568046370524999","-0.024876","0.013299","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"129","temperature__C","0.0606512231332499","-0.0182785","0.140285","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"130","oxidation_reduction_potential__Mv","0.00786451467305001","5.75075e-05","0.0167375","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"131","salinity__ppt","-0.00858375006649999","-0.0948615","0.0620035","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"132","water_crowfoot__Ranunculus","0.189498090916749","-0.277585","0.65253","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"133","rushes__Juncus_or_Scirpus","0.1648537718775","-0.43122","0.787675","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"134","filamentous_algae","-0.514703136975","-0.97087","-0.065727","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"135","emergent_grass","-0.631814233150749","-1.435","0.129805","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"136","ivy_leafed_duckweed__Lemna_trisulca","-0.270026820566251","-1.36235","0.69218","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"137","bulrushes__Typha","-0.763683314727499","-1.50965","-0.0700155","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"138","reeds_Phragmites","0.665169329275002","0.20214","1.1576","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"139","marestail__Hippuris","-0.319056664733","-0.922725","0.246615","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"140","common_duckweed__Lemna_minor","0.299092247728249","-0.29555","0.88418","Ovaskainen 2016 NS","ditch_shrimp__Gammarus"
"141","intercept","-1.103684113228","-2.67885","0.52308","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"142","depth__cm","-0.1194149165","-0.204105","-0.0605355","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"143","temperature__C","0.0331087912531749","-0.0625175","0.127265","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"144","oxidation_reduction_potential__Mv","0.001225309027975","-0.00702945","0.0104945","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"145","salinity__ppt","-0.06936650699875","-0.251875","0.06904","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"146","water_crowfoot__Ranunculus","0.668529820974998","0.0977115","1.3173","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"147","rushes__Juncus_or_Scirpus","0.900362418425002","0.134785","1.7438","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"148","filamentous_algae","0.862096005999997","0.262975","1.57305","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"149","emergent_grass","-0.379793142714999","-1.2622","0.49914","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"150","ivy_leafed_duckweed__Lemna_trisulca","-0.282080914918","-1.2507","0.6923","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"151","bulrushes__Typha","0.0941959527375002","-0.6821","0.85135","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"152","reeds_Phragmites","0.11090588633","-0.600385","0.771455","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"153","marestail__Hippuris","0.4645323226465","-0.169045","1.1472","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"154","common_duckweed__Lemna_minor","0.474189397944999","-0.16369","1.13435","Ovaskainen 2016 NS","beetle_larvae__Coleoptera"
"155","intercept","-0.982821663115001","-2.43175","0.50695","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"156","depth__cm","-0.000508231544875","-0.037863","0.033227","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"157","temperature__C","-0.105054906322","-0.207005","-0.00725695","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"158","oxidation_reduction_potential__Mv","-0.0116895246085","-0.0185475","-0.0048247","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"159","salinity__ppt","-0.041179146910225","-0.223095","0.092521","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"160","water_crowfoot__Ranunculus","0.48372106184","-0.1005255","1.04315","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"161","rushes__Juncus_or_Scirpus","0.586355443325001","-0.13092","1.39105","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"162","filamentous_algae","0.2945822048","-0.331725","0.92281","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"163","emergent_grass","-0.597305455744749","-1.4658","0.224685","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"164","ivy_leafed_duckweed__Lemna_trisulca","-0.256605131825","-1.1989","0.64545","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"165","bulrushes__Typha","-0.10843841573","-0.8633","0.636235","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"166","reeds_Phragmites","0.0982767627600001","-0.600325","0.70547","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"167","marestail__Hippuris","0.0191253950175001","-0.657645","0.635275","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"168","common_duckweed__Lemna_minor","0.438729512227","-0.170935","1.0265","Ovaskainen 2016 NS","dragonflies__Anisoptera"
"169","intercept","-1.0946845496325","-2.5254","0.338945","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"170","depth__cm","-0.02714102844","-0.0537095","-0.00382875","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"171","temperature__C","0.0527615963337499","-0.027018","0.1338","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"172","oxidation_reduction_potential__Mv","0.00140470465345","-0.00489955","0.0079575","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"173","salinity__ppt","-0.235956774","-0.402825","-0.0817955","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"174","water_crowfoot__Ranunculus","0.402936162924999","-0.064566","0.85172","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"175","rushes__Juncus_or_Scirpus","0.449918164187499","-0.18838","1.0837","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"176","filamentous_algae","0.3579950211895","-0.088752","0.80463","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"177","emergent_grass","-0.612017406165","-1.38675","0.154605","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"178","ivy_leafed_duckweed__Lemna_trisulca","-0.0390099139782501","-0.871115","0.79137","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"179","bulrushes__Typha","-0.00539594549499999","-0.6261","0.649945","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"180","reeds_Phragmites","0.14897477969525","-0.409385","0.687565","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"181","marestail__Hippuris","0.132969259925","-0.396355","0.66002","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"182","common_duckweed__Lemna_minor","0.373809999668749","-0.16678","0.894015","Ovaskainen 2016 NS","mayflies__Ephemeroptera"
"183","intercept","-0.855570138014999","-2.4514","0.82723","Ovaskainen 2016 NS","newts__Pleurodelinae"
"184","depth__cm","-0.0919207819884999","-0.18729","-0.0162995","Ovaskainen 2016 NS","newts__Pleurodelinae"
"185","temperature__C","-0.06949626110825","-0.203195","0.0479095","Ovaskainen 2016 NS","newts__Pleurodelinae"
"186","oxidation_reduction_potential__Mv","0.001144414126065","-0.0090272","0.012772","Ovaskainen 2016 NS","newts__Pleurodelinae"
"187","salinity__ppt","-0.0064039512392","-0.18852","0.125125","Ovaskainen 2016 NS","newts__Pleurodelinae"
"188","water_crowfoot__Ranunculus","0.602926738700001","-0.04355","1.29925","Ovaskainen 2016 NS","newts__Pleurodelinae"
"189","rushes__Juncus_or_Scirpus","0.92316808706","0.0433","1.9803","Ovaskainen 2016 NS","newts__Pleurodelinae"
"190","filamentous_algae","1.002772954875","0.195535","1.9522","Ovaskainen 2016 NS","newts__Pleurodelinae"
"191","emergent_grass","-0.594632064464752","-1.5854","0.365165","Ovaskainen 2016 NS","newts__Pleurodelinae"
"192","ivy_leafed_duckweed__Lemna_trisulca","-0.21961724418575","-1.35325","0.8494","Ovaskainen 2016 NS","newts__Pleurodelinae"
"193","bulrushes__Typha","0.14321445955825","-0.674665","1.0564","Ovaskainen 2016 NS","newts__Pleurodelinae"
"194","reeds_Phragmites","0.17043354211425","-0.62766","0.9232","Ovaskainen 2016 NS","newts__Pleurodelinae"
"195","marestail__Hippuris","0.3237804620275","-0.40711","1.1079","Ovaskainen 2016 NS","newts__Pleurodelinae"
"196","common_duckweed__Lemna_minor","0.72470583995","0.025692","1.53375","Ovaskainen 2016 NS","newts__Pleurodelinae"
"197","intercept","-0.97173415995","-2.3465","0.469435","Ovaskainen 2016 NS","fish"
"198","depth__cm","-0.01919674098325","-0.0509095","0.00864625","Ovaskainen 2016 NS","fish"
"199","temperature__C","-0.041799724574","-0.129405","0.042346","Ovaskainen 2016 NS","fish"
"200","oxidation_reduction_potential__Mv","-0.001335481785885","-0.00844425","0.00657395","Ovaskainen 2016 NS","fish"
"201","salinity__ppt","-0.0403701403285","-0.203205","0.071321","Ovaskainen 2016 NS","fish"
"202","water_crowfoot__Ranunculus","0.599814024302501","0.10752","1.11375","Ovaskainen 2016 NS","fish"
"203","rushes__Juncus_or_Scirpus","0.564228036432498","-0.109755","1.34105","Ovaskainen 2016 NS","fish"
"204","filamentous_algae","0.2604492619275","-0.268305","0.79711","Ovaskainen 2016 NS","fish"
"205","emergent_grass","-0.6402718119425","-1.51045","0.15065","Ovaskainen 2016 NS","fish"
"206","ivy_leafed_duckweed__Lemna_trisulca","-0.271236716345","-1.1957","0.61569","Ovaskainen 2016 NS","fish"
"207","bulrushes__Typha","-0.2809148987","-1.0336","0.43517","Ovaskainen 2016 NS","fish"
"208","reeds_Phragmites","0.1478630244495","-0.452405","0.704375","Ovaskainen 2016 NS","fish"
"209","marestail__Hippuris","0.3006275373925","-0.244725","0.87347","Ovaskainen 2016 NS","fish"
"210","common_duckweed__Lemna_minor","0.2806807312225","-0.342085","0.85513","Ovaskainen 2016 NS","fish"
"211","intercept","-1.048669616","-2.60245","0.499875","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"212","depth__cm","-0.00313066322964999","-0.0327965","0.023754","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"213","temperature__C","-0.071200485903","-0.16881","0.0241215","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"214","oxidation_reduction_potential__Mv","0.00108886023067","-0.0070774","0.0107735","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"215","salinity__ppt","-0.101567471991","-0.27878","0.055087","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"216","water_crowfoot__Ranunculus","0.887162679975","0.37484","1.4471","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"217","rushes__Juncus_or_Scirpus","0.826494015757501","0.0446145","1.75055","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"218","filamentous_algae","1.010140968","0.43618","1.6432","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"219","emergent_grass","-0.5206276158975","-1.3913","0.347","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"220","ivy_leafed_duckweed__Lemna_trisulca","-0.0487184894175001","-1.0069","0.89779","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"221","bulrushes__Typha","-0.37803224706275","-1.2578","0.35542","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"222","reeds_Phragmites","0.33211147975775","-0.267955","0.942975","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"223","marestail__Hippuris","0.23492247075175","-0.37145","0.8351","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
"224","common_duckweed__Lemna_minor","0.597832538467499","-0.035694","1.2486","Ovaskainen 2016 NS","saucer_bugs__Ilyocoris"
