"","x"
"mayflies__Ephemeroptera_opossum_shrimps__Mysidae",1525.83205359661
"mayflies__Ephemeroptera_ditch_shrimp__Gammarus",1549.80683535061
"mayflies__Ephemeroptera_beetle_larvae__Coleoptera",1636.71064442236
"mayflies__Ephemeroptera_dragonflies__Anisoptera",1183.58508248456
"newts__Pleurodelinae_Culex_pipiens_sl",839.68402168868
"newts__Pleurodelinae_Culex_modestus",569.483370762522
"newts__Pleurodelinae_Culiseta_annulata",549.186045423533
"newts__Pleurodelinae_Anopheles_maculipennis_sl",663.596230532811
"newts__Pleurodelinae_waterboatmen__Corixidae",1001.84162928127
"newts__Pleurodelinae_diving_beetles__Dysticidae",957.839325872417
"newts__Pleurodelinae_damselflies__Zygoptera",529.207573935641
"newts__Pleurodelinae_swimming_beetles__Haliplidae",783.284875365871
"newts__Pleurodelinae_opossum_shrimps__Mysidae",693.064137184131
"newts__Pleurodelinae_ditch_shrimp__Gammarus",698.168277847033
"newts__Pleurodelinae_beetle_larvae__Coleoptera",765.566732663744
"newts__Pleurodelinae_dragonflies__Anisoptera",1018.5258468465
"newts__Pleurodelinae_mayflies__Ephemeroptera",614.400549986814
"fish_Culex_pipiens_sl",1216.32522937889
"fish_Culex_modestus",1025.5360018621
"fish_Culiseta_annulata",804.847508567849
"fish_Anopheles_maculipennis_sl",1265.20173961094
"fish_waterboatmen__Corixidae",1216.41793732503
"fish_diving_beetles__Dysticidae",1298.02612639517
"fish_damselflies__Zygoptera",1117.00955150063
"fish_swimming_beetles__Haliplidae",1236.24028440043
"fish_opossum_shrimps__Mysidae",967.009255832501
"fish_ditch_shrimp__Gammarus",1179.36463504841
"fish_beetle_larvae__Coleoptera",1038.57106843181
"fish_dragonflies__Anisoptera",1103.70726118628
"fish_mayflies__Ephemeroptera",1433.23180563917
"fish_newts__Pleurodelinae",881.6529803294
"saucer_bugs__Ilyocoris_Culex_pipiens_sl",1214.39798017574
"saucer_bugs__Ilyocoris_Culex_modestus",823.772682946684
"saucer_bugs__Ilyocoris_Culiseta_annulata",681.850438624493
"saucer_bugs__Ilyocoris_Anopheles_maculipennis_sl",795.726902105267
"saucer_bugs__Ilyocoris_waterboatmen__Corixidae",1382.06880506815
"saucer_bugs__Ilyocoris_diving_beetles__Dysticidae",1204.30003340451
"saucer_bugs__Ilyocoris_damselflies__Zygoptera",979.04411565074
"saucer_bugs__Ilyocoris_swimming_beetles__Haliplidae",1250.38906330092
"saucer_bugs__Ilyocoris_opossum_shrimps__Mysidae",1068.55671523836
"saucer_bugs__Ilyocoris_ditch_shrimp__Gammarus",1266.71951483346
"saucer_bugs__Ilyocoris_beetle_larvae__Coleoptera",1168.7073970893
"saucer_bugs__Ilyocoris_dragonflies__Anisoptera",860.215487870692
"saucer_bugs__Ilyocoris_mayflies__Ephemeroptera",1285.39193423428
"saucer_bugs__Ilyocoris_newts__Pleurodelinae",753.187480473394
"saucer_bugs__Ilyocoris_fish",1005.50678758538
