bio2,bio3,bio5,bio8,bio9,bio15,bio16,bio18
142,40,321,151,209,19,445,319
130,38,318,69,210,19,424,310
132,40,332,126,224,20,436,317
134,40,332,130,226,21,434,315
127,40,331,105,184,21,411,322
131,41,322,93,224,22,444,342
138,44,332,111,188,18,451,417
141,43,332,104,228,20,464,371
128,42,325,108,188,21,408,361
133,38,320,153,209,18,431,311
131,39,304,55,195,17,445,334
134,40,330,122,221,21,446,315
132,40,328,86,221,19,440,334
133,39,321,76,213,19,431,323
132,41,331,98,228,22,437,320
129,41,327,99,229,21,428,334
137,44,325,110,187,19,457,443
140,44,330,107,186,19,441,409
129,43,329,267,196,20,416,416
95,36,320,270,162,21,509,481
131,38,317,149,206,18,418,312
127,37,304,53,196,17,445,329
131,38,322,154,210,18,419,308
130,38,318,69,210,19,424,310
130,38,313,66,206,19,431,312
137,41,319,75,210,19,439,325
130,43,332,268,195,18,448,448
91,34,320,270,162,21,497,470
96,36,320,270,162,22,507,477
102,37,322,268,160,21,504,483
140,42,325,85,217,20,444,335
136,40,314,106,205,18,437,330
132,41,320,90,220,21,451,345
130,38,317,64,207,18,419,309
135,39,318,64,205,18,436,314
136,40,328,117,217,20,435,311
131,39,316,70,209,19,435,325
138,41,317,79,211,20,455,343
141,42,319,78,210,20,451,335
133,41,331,101,228,22,433,327
126,40,330,103,184,21,407,321
132,41,324,94,223,22,411,337
140,43,333,104,228,21,457,367
129,42,326,110,190,21,409,364
119,41,326,268,153,19,494,494
127,23,203,112,-161,78,142,142
121,22,225,141,-147,52,94,94
106,20,204,131,-140,58,139,139
109,22,213,141,-103,69,165,165
111,22,210,130,-139,67,148,148
122,26,198,111,-103,57,169,169
131,25,222,130,-106,65,145,145
125,23,201,120,-140,91,153,153
120,25,184,101,-130,85,155,155
108,25,171,96,-120,68,182,182
98,25,164,96,-48,59,205,205
73,28,172,84,69,34,524,322
55,31,160,44,103,35,1030,609
108,21,210,141,-114,53,158,158
75,31,155,77,59,32,667,382
99,29,157,41,-25,27,331,256
124,27,206,105,-8,39,169,161
114,28,166,88,-48,42,183,183
100,29,199,120,-29,53,196,169
89,28,175,75,13,48,245,149
79,30,164,75,56,35,258,154
65,33,137,38,71,35,859,572
57,30,154,49,109,20,488,377
111,21,207,131,-138,61,137,137
77,25,167,110,-56,41,245,206
86,27,171,110,-79,40,220,186
131,27,191,105,-112,62,159,159
70,30,173,56,78,36,772,377
69,31,169,56,104,35,780,386
60,30,152,42,18,19,471,375
105,28,199,117,7,45,283,238
86,28,176,76,15,48,252,149
76,30,159,74,53,35,253,149
118,22,179,93,-208,60,132,132
87,25,190,123,21,52,194,157
76,22,142,87,-119,63,208,169
114,22,203,122,-159,61,156,156
116,22,200,117,-174,59,141,141
110,23,214,140,-98,72,172,172
116,22,157,71,-238,65,122,122
115,22,171,89,-223,60,100,100
68,30,161,48,65,37,591,331
122,23,219,135,-128,66,184,184
113,22,216,136,-131,68,149,149
133,24,206,114,-146,92,138,138
73,21,128,77,-135,63,210,167
103,21,194,103,-51,57,184,179
76,22,138,84,-124,62,206,168
94,27,174,-52,45,36,268,134
77,22,157,98,-102,64,237,200
72,21,124,74,-139,62,212,168
66,31,165,58,102,35,848,412
68,30,161,48,65,37,591,331
107,22,202,112,-110,55,208,190
82,32,164,84,97,31,791,455
156,41,297,188,124,29,104,90
141,38,400,122,241,41,52,35
153,43,354,257,189,43,91,72
165,46,313,212,151,51,196,165
158,42,410,314,248,50,51,36
157,44,414,293,258,54,35,22
152,43,413,325,262,55,48,33
177,49,350,251,201,83,194,167
160,48,326,231,187,77,265,224
150,43,255,-15,89,33,160,127
141,35,359,255,191,28,34,30
142,37,420,136,261,46,37,25
160,45,282,179,119,39,199,164
181,47,326,217,153,52,165,139
172,44,315,208,144,48,153,123
161,43,417,322,256,60,31,21
168,44,410,314,250,52,65,48
176,45,411,310,246,50,66,49
163,45,386,114,223,44,139,98
156,43,415,292,259,53,35,22
173,47,392,296,238,49,142,116
161,45,369,274,223,57,166,136
175,49,359,260,210,81,218,183
167,48,366,273,222,77,186,155
157,41,344,53,169,33,108,75
141,36,317,215,151,32,70,58
168,45,337,227,161,44,109,92
184,48,326,210,148,47,142,121
158,44,269,167,105,40,210,170
177,46,405,304,242,35,133,113
153,42,368,273,213,47,154,124
137,41,393,311,248,62,88,70
180,47,405,304,243,38,131,110
132,36,391,105,229,39,48,35
122,36,335,85,228,21,400,275
135,38,337,169,223,13,372,286
132,38,337,170,225,13,371,297
128,37,338,171,228,14,373,291
130,37,338,171,228,17,384,284
118,33,331,162,219,21,405,260
121,35,337,172,226,18,390,262
135,38,337,164,221,17,410,304
141,38,339,237,51,23,331,272
134,35,337,150,256,17,370,255
129,35,322,141,34,19,387,273
134,35,331,148,252,19,395,271
138,36,339,154,44,19,355,262
124,34,315,136,31,20,382,279
137,36,342,157,48,22,349,258
135,35,331,142,204,16,364,261
142,36,334,143,31,17,360,259
142,36,329,137,22,18,341,261
123,34,315,135,30,20,363,285
130,34,317,182,20,24,361,297
129,34,320,184,25,24,368,296
131,35,320,183,25,21,349,289
137,36,332,143,251,16,361,256
115,32,329,155,213,18,383,263
125,34,334,155,259,19,397,266
134,35,325,140,28,19,370,263
135,36,334,152,45,20,358,276
139,37,331,150,44,19,430,310
119,34,333,168,265,17,388,257
121,35,336,172,226,18,388,261
130,37,338,171,228,17,384,284
134,39,336,170,224,12,372,287
121,36,335,124,224,20,388,265
132,35,335,152,44,22,374,272
133,38,334,166,220,14,385,287
118,34,334,167,265,19,397,255
132,36,337,161,260,18,415,286
134,37,337,166,261,17,405,286
114,32,331,159,263,20,388,252
123,34,337,161,264,20,397,261
114,25,192,98,-83,35,128,118
118,25,201,117,-82,48,112,112
126,27,180,97,-112,48,116,116
124,25,175,95,-132,54,225,225
125,22,222,133,-108,51,130,130
121,22,212,125,-115,52,132,132
109,21,205,119,-138,44,139,139
92,19,189,120,-162,43,128,128
115,25,191,95,-84,40,129,121
127,27,177,99,-114,62,183,183
109,22,180,90,-89,45,159,159
121,28,179,-102,-32,28,159,129
130,35,290,193,-5,16,281,275
130,37,274,180,-6,11,296,289
135,38,293,206,8,14,282,275
132,36,293,208,4,15,287,285
131,36,304,209,16,13,303,303
119,34,309,239,27,10,293,293
125,34,308,235,18,10,281,281
133,38,293,201,74,12,336,323
130,38,279,189,67,12,336,324
129,37,301,207,22,11,284,281
129,37,300,208,23,10,294,284
129,36,309,226,25,13,318,312
132,37,307,225,25,12,313,305
131,37,307,227,26,9,296,291
128,36,306,235,25,10,301,301
131,37,314,233,92,11,317,315
108,33,305,239,103,13,314,309
117,34,311,236,34,13,308,305
120,35,310,243,100,15,343,343
97,30,298,237,159,12,290,287
127,38,273,185,65,12,343,331
128,37,292,201,20,11,339,329
132,38,309,216,51,10,311,311
135,38,318,242,54,9,304,304
134,37,312,238,49,8,295,295
134,38,314,240,96,10,314,314
128,37,314,244,103,16,356,356
131,38,316,244,102,15,348,348
96,31,303,244,116,19,370,357
134,37,309,227,46,9,301,300
131,37,309,228,48,9,294,290
131,37,305,225,24,11,304,297
125,36,313,236,98,15,341,339
127,37,286,198,127,12,336,323
87,42,214,44,145,60,1062,203
85,39,203,27,137,62,661,125
96,33,202,-33,124,56,650,139
136,35,267,-51,158,53,227,68
127,33,297,-20,193,40,118,48
93,46,209,50,144,57,1320,279
107,43,247,46,165,63,750,109
125,33,310,1,205,42,76,26
122,34,288,-15,179,39,165,65
102,43,228,40,152,61,948,164
90,34,187,-29,112,63,973,166
131,38,299,13,193,44,98,30
132,37,315,16,205,40,101,34
126,36,306,17,197,26,140,78
121,36,281,3,181,55,155,36
89,36,212,14,143,47,665,176
86,34,193,-13,124,50,704,189
131,34,253,-57,148,48,221,77
124,34,272,-30,161,37,273,115
107,36,230,-17,145,63,606,100
108,34,219,-41,131,63,563,98
127,34,302,-10,199,46,86,30
134,38,296,1,182,38,152,56
97,36,206,-16,125,64,998,160
129,37,268,-19,166,55,171,42
128,37,315,22,205,39,144,48
95,35,212,-10,135,59,897,187
134,34,276,-42,169,48,178,60
81,38,171,-4,104,60,1083,208
92,39,217,22,143,49,935,228
115,35,241,-29,150,64,390,70
136,38,302,0,186,39,131,48
124,36,279,-5,173,38,180,71
93,37,204,-2,127,58,1115,214
129,35,312,3,206,45,79,26
90,40,222,44,154,41,397,125
133,35,275,-34,166,28,120,70
132,34,290,-28,176,26,166,106
119,32,273,-33,167,27,214,128
83,39,223,50,161,44,399,118
122,37,248,-27,152,71,527,76
122,32,293,-22,190,39,99,41
124,34,291,-17,181,38,173,71
106,46,226,40,148,61,1033,178
102,42,226,28,147,55,837,173
98,41,236,44,162,46,622,166
108,31,243,-45,143,33,296,143
136,37,314,6,198,39,100,35
111,44,251,47,169,59,579,103
124,36,258,172,-13,13,339,332
131,37,276,184,-1,11,293,286
129,37,275,185,22,13,290,277
119,35,264,180,57,14,309,296
133,38,289,196,8,12,339,328
135,37,295,218,4,14,329,329
137,38,292,215,4,13,343,343
130,36,298,223,72,15,324,324
130,36,296,203,9,15,338,334
129,36,296,204,73,16,339,336
126,36,259,173,-15,13,403,398
138,38,290,213,4,14,362,362
132,37,267,175,-13,11,337,332
137,38,291,215,6,14,354,354
120,35,249,163,-24,9,351,342
126,36,263,171,-15,12,305,300
128,35,294,201,0,14,313,313
134,37,293,215,0,13,329,329
126,34,286,190,-13,17,324,316
133,36,291,193,-5,15,329,329
137,37,289,211,-2,13,353,353
133,36,289,191,-8,15,335,330
132,36,291,195,-4,14,330,327
135,36,287,188,-10,15,340,336
123,34,281,189,-10,15,338,334
129,36,271,179,-13,13,370,367
130,35,286,188,-10,16,279,272
131,36,286,191,-5,14,346,343
129,27,266,176,-114,47,304,304
121,26,260,165,-111,44,297,295
133,27,274,186,-114,52,297,297
125,27,259,163,-116,44,317,312
117,27,257,166,-102,40,296,292
121,26,257,163,-113,44,321,315
117,27,248,170,-91,34,306,306
122,27,252,170,-94,37,302,302
116,25,288,210,-93,49,318,318
119,25,281,202,-101,50,319,319
127,27,274,191,-110,48,312,312
123,26,277,195,-106,48,323,323
125,27,277,194,-104,48,326,326
129,28,282,196,-95,49,325,325
130,28,266,167,-114,48,328,322
131,28,270,171,-110,48,329,324
124,27,268,186,-104,49,327,327
122,27,256,162,-114,47,316,311
121,27,262,168,-107,45,316,309
121,27,260,166,-105,43,313,298
122,27,266,171,-104,44,311,301
124,27,258,164,-109,45,308,300
128,29,257,160,-108,41,301,295
130,29,257,158,-106,41,298,294
124,28,255,161,-103,41,295,287
126,28,259,163,-101,40,289,283
129,29,269,170,-94,38,275,272
126,28,273,176,-86,35,268,266
95,25,247,174,-67,31,248,242
122,26,288,207,-89,47,312,312
123,27,286,205,-87,47,319,319
122,27,284,205,-88,47,319,319
122,27,288,194,-83,47,317,315
123,27,276,195,-96,50,323,323
122,27,270,175,-99,47,322,320
129,28,280,182,-89,44,316,309
120,27,271,176,-95,45,315,309
124,28,280,184,-86,43,307,299
118,27,275,183,-88,42,308,298
121,27,273,178,-92,42,309,299
118,27,281,188,-80,39,291,285
119,27,279,186,-81,39,288,284
121,27,277,183,-84,38,284,280
99,25,261,185,-63,30,261,254
101,26,259,181,-67,30,258,252
114,26,281,204,-81,46,311,311
116,27,276,187,-80,46,314,313
116,27,282,205,-73,41,303,303
127,28,283,186,-85,43,312,303
125,28,280,185,-87,44,318,309
121,28,281,189,-77,41,302,300
117,27,283,192,-73,38,288,284
117,27,282,191,-75,38,285,278
117,27,285,194,-70,38,289,285
108,26,276,190,-72,38,290,280
114,27,284,194,-70,37,291,283
116,27,287,196,-69,38,288,282
108,26,276,190,-72,38,290,280
98,25,265,192,-58,33,281,268
112,26,286,213,-65,42,314,314
112,26,286,212,-62,39,316,316
117,27,283,208,-65,38,310,310
115,27,287,197,-65,36,297,295
105,26,276,205,-54,33,301,301
97,25,268,203,-50,31,287,287
122,27,266,184,-105,49,327,327
113,26,280,191,-74,38,278,276
116,27,281,205,-71,39,302,302
117,26,258,174,-109,47,288,288
123,27,257,162,-115,43,319,313
126,28,256,159,-109,40,298,294
125,26,276,193,-108,48,317,317
130,28,266,167,-114,48,328,322
118,26,257,165,-110,44,318,314
126,28,256,161,-107,43,303,294
126,29,255,160,-103,41,293,286
124,27,288,206,-88,48,313,313
120,27,267,173,-100,46,321,318
120,27,275,184,-84,42,301,295
123,28,265,171,-96,43,300,293
103,25,268,187,-68,33,269,264
114,26,285,211,-68,42,307,307
117,27,283,206,-71,41,310,310
120,27,280,190,-75,40,294,292
105,25,274,189,-70,34,284,275
115,27,280,204,-72,39,316,316
117,27,287,210,-62,36,304,304
108,26,271,196,-72,35,260,260
107,26,282,198,-60,34,291,290
159,38,235,94,-47,18,169,155
148,38,268,97,-38,54,137,103
161,36,301,113,-54,51,168,118
136,33,276,101,-58,54,214,177
159,41,257,75,-54,47,115,92
160,36,288,93,-61,44,139,92
180,38,279,129,-77,37,76,66
154,36,273,85,-75,29,96,67
138,33,281,94,-61,46,116,79
151,36,307,115,-34,50,145,96
157,38,262,75,-69,15,92,77
153,40,258,80,-56,19,121,109
175,40,315,178,-24,66,176,136
151,37,224,86,71,15,178,162
162,38,280,98,-50,58,134,103
168,36,298,105,-66,45,136,90
164,37,300,112,-52,45,165,109
137,36,230,50,-76,35,192,140
158,35,309,121,-56,59,168,127
156,41,243,59,-63,38,122,102
167,35,319,129,-53,56,114,70
151,35,296,105,-56,49,123,81
164,35,310,116,-63,55,108,71
168,34,323,130,-62,55,101,65
144,36,249,65,-69,40,175,125
162,37,306,113,-45,54,156,108
155,35,304,165,-58,62,168,136
146,37,227,45,-38,21,129,98
151,35,286,97,-68,41,105,67
138,35,268,83,-67,33,102,74
140,34,289,102,-54,36,93,65
140,34,295,107,-48,46,114,74
134,35,263,81,-56,33,132,94
139,36,270,86,-52,35,130,93
133,37,242,65,-61,37,165,127
156,39,288,153,-35,57,161,125
161,38,295,110,-41,58,179,140
158,37,286,98,-67,33,78,62
147,38,271,88,-46,29,112,89
165,39,306,168,-26,61,198,173
152,37,307,115,-31,55,153,104
153,34,306,173,-55,61,185,150
143,33,295,117,-50,56,210,171
156,36,273,84,-79,28,84,66
148,34,296,108,-59,61,178,138
162,38,242,-89,118,24,208,121
133,33,274,100,-53,52,225,187
163,38,287,143,-66,37,74,60
125,34,203,-79,100,19,230,178
107,31,247,-39,148,32,295,147
114,33,210,-67,118,38,238,104
86,34,230,22,163,48,701,180
103,30,241,-43,49,23,229,161
109,31,256,-36,16,20,190,153
109,31,215,-62,-9,21,155,154
111,30,223,139,-10,27,128,128
115,31,236,153,3,30,147,147
151,36,214,118,-28,34,135,135
112,30,215,-75,28,17,205,192
109,30,202,-81,17,16,207,193
110,30,208,-24,26,27,173,144
73,25,216,13,133,52,661,179
71,29,177,6,101,45,767,245
116,28,210,134,-46,43,220,220
109,29,215,-91,23,23,192,184
97,29,202,-22,28,31,223,156
94,30,207,-15,42,44,393,187
80,35,220,30,158,51,670,176
113,26,192,99,-11,37,110,102
123,33,212,-82,-23,24,151,149
61,33,174,54,108,38,577,276
122,32,252,-56,4,22,185,143
122,34,263,-38,118,22,159,122
116,32,260,166,18,23,91,91
105,30,238,-47,2,19,160,136
105,31,201,-65,-20,21,141,123
95,31,192,-48,113,43,412,142
119,33,219,135,-10,23,176,176
121,31,236,151,-2,36,137,137
146,36,215,122,-22,35,129,129
145,37,211,-38,-23,30,139,102
124,33,227,140,-10,24,223,223
122,32,230,143,-6,22,189,189
106,29,193,-35,12,27,165,150
53,30,172,55,129,42,688,281
71,32,218,34,161,47,535,153
120,24,203,124,-97,28,161,161
102,28,168,-75,28,37,308,149
85,39,215,37,151,66,583,84
87,37,212,21,140,64,918,156
106,31,229,-52,-7,19,154,137
116,33,232,-57,-9,20,106,99
95,33,194,-39,119,51,552,142
88,35,230,29,162,49,680,173
78,34,222,34,159,58,603,117
102,30,232,-48,-3,21,203,154
105,30,247,-41,55,21,217,162
104,31,215,-54,-5,22,137,111
100,32,174,-72,95,29,243,135
116,32,275,-20,78,21,86,83
118,33,227,-62,-11,23,116,95
85,31,201,-17,130,50,561,150
86,37,203,16,136,55,760,163
99,30,239,-30,100,38,211,91
112,32,216,127,-17,23,98,98
107,32,232,-43,49,27,153,95
159,47,286,17,167,70,405,46
118,51,253,73,169,81,816,49
144,41,368,84,261,75,413,29
144,48,267,36,160,81,667,45
138,44,307,56,208,79,699,43
109,60,214,89,148,84,583,30
139,47,319,83,220,87,202,9
138,44,233,-4,138,71,459,57
149,46,351,84,242,81,153,5
143,46,277,32,176,79,488,33
152,48,316,76,187,75,273,47
161,43,419,324,259,56,29,20
164,53,320,94,208,84,194,12
151,44,360,100,254,83,223,4
166,43,383,94,251,65,54,12
164,40,418,120,246,38,27,17
141,39,416,324,259,43,34,25
114,59,233,96,160,89,536,19
161,46,278,8,159,72,450,44
141,44,329,73,226,80,555,23
150,45,351,82,244,81,273,15
123,57,234,80,154,84,625,33
158,45,279,9,170,62,240,44
154,43,378,109,211,48,62,43
166,44,417,289,255,55,25,16
136,44,248,0,151,76,598,53
159,45,252,-25,146,51,157,45
144,41,365,86,257,79,609,34
138,43,342,81,236,83,366,15
152,48,317,81,188,77,288,41
130,60,239,88,159,90,391,14
158,42,338,42,210,67,111,19
112,41,188,-24,105,71,353,60
109,41,252,38,168,84,320,23
152,44,366,100,256,82,175,3
146,43,322,64,197,76,171,16
127,43,260,26,171,80,414,33
145,60,271,106,180,92,329,13
146,47,315,81,213,89,289,14
169,45,293,0,165,37,133,51
146,45,337,74,230,83,452,20
150,46,348,85,239,82,146,5
141,45,266,16,166,77,470,39
159,45,263,-4,148,69,424,47
145,43,355,83,248,84,359,12
159,53,291,60,178,85,716,38
147,44,338,73,230,70,452,35
166,43,296,-5,167,40,121,43
163,48,302,34,180,77,530,47
163,43,292,-1,169,42,150,47
160,44,280,-4,161,48,156,46
158,45,262,-10,146,51,198,49
165,47,296,22,176,74,554,43
115,52,261,95,188,87,293,10
169,60,288,95,185,89,167,8
157,48,296,37,179,76,607,54
146,50,285,52,176,82,774,51
155,44,355,76,241,80,388,21
163,44,280,-8,154,60,253,45
160,52,296,56,180,84,719,42
154,54,303,84,199,92,582,19
140,45,282,30,182,77,636,46
142,52,301,92,205,88,288,11
157,46,354,77,238,81,287,8
128,59,245,90,164,89,629,24
125,54,264,90,184,88,427,15
168,46,318,24,189,62,257,46
161,46,280,6,162,61,348,50
121,43,201,-17,115,71,334,50
152,53,293,73,185,87,628,28
155,48,326,82,196,74,239,47
173,51,338,79,214,82,240,16
156,49,320,75,188,73,256,49
146,53,296,83,195,90,549,19
116,59,232,94,163,88,464,15
152,45,342,72,229,82,444,21
107,54,218,74,151,74,986,83
163,45,292,5,170,40,135,46
159,44,277,-7,157,40,161,55
166,44,280,-10,153,35,138,55
156,50,289,38,174,77,624,54
154,48,286,32,171,78,578,49
160,44,274,-7,151,61,314,49
171,47,302,7,173,74,464,37
140,44,315,67,214,78,627,42
148,45,333,70,226,81,539,31
154,45,328,57,219,81,433,22
127,51,245,52,156,76,901,74
152,48,268,16,155,70,500,55
141,44,277,21,176,76,541,44
148,49,292,53,182,77,657,53
163,45,280,-5,155,64,297,44
141,49,314,84,212,84,254,11
181,39,295,47,-70,18,91,80
172,38,289,96,-51,16,95,84
162,40,238,126,-68,10,133,129
159,39,300,131,-15,54,158,127
163,37,320,190,-21,72,198,171
157,37,314,185,-25,71,231,195
162,40,242,11,109,10,142,126
159,40,204,100,33,14,151,141
184,45,265,153,-41,50,181,181
163,40,295,168,-18,62,186,178
167,38,322,191,-19,69,186,164
165,38,322,194,-14,66,212,185
170,39,332,169,-14,28,83,62
182,40,231,118,54,20,143,130
161,41,228,124,-74,37,170,163
170,41,294,191,-28,72,183,183
181,40,340,213,-6,64,175,165
178,42,285,131,104,26,162,133
179,40,342,215,0,62,149,140
174,39,336,211,-3,65,188,176
182,40,295,51,-62,17,103,92
181,41,285,44,-57,12,119,106
157,40,240,62,-74,10,162,153
162,38,315,188,-15,55,156,128
166,38,316,184,-25,71,212,182
163,38,322,194,-15,72,220,189
141,38,187,91,5,14,163,159
169,41,236,133,-76,55,186,186
168,39,319,186,-17,60,176,152
162,38,321,193,-17,66,205,183
148,37,272,163,97,17,134,115
193,40,258,134,73,23,121,109
171,40,213,107,42,20,160,146
172,40,304,200,-23,73,174,174
184,41,337,230,-5,66,133,133
172,39,324,195,-19,70,191,177
161,43,206,101,39,21,234,199
188,42,273,157,-64,55,109,101
171,42,311,214,6,61,168,168
169,41,331,210,13,64,190,181
185,41,273,157,-63,54,118,111
153,35,338,180,-14,19,74,59
173,42,208,101,39,24,212,183
167,42,226,122,65,27,169,149
168,38,287,43,-60,19,92,83
163,40,247,16,68,7,134,128
175,40,256,133,-71,18,125,122
153,41,263,135,-36,48,160,145
162,39,301,168,-25,63,177,154
162,37,319,195,-23,72,231,197
160,38,273,41,-54,13,128,108
175,40,297,134,-26,10,112,96
128,37,167,-40,-7,16,219,182
165,39,304,173,-25,68,186,177
165,38,322,193,-16,67,208,184
173,40,279,124,98,14,114,98
147,39,175,81,14,18,194,181
174,43,296,193,-8,51,148,148
180,40,339,210,-9,65,153,144
179,39,337,209,-10,66,171,161
161,43,206,101,39,21,234,199
186,43,264,146,84,26,178,148
169,42,228,122,64,28,182,163
182,41,271,159,-62,59,101,93
170,40,337,216,12,65,191,182
183,38,313,138,-61,21,89,78
175,39,283,38,-72,14,102,90
161,40,249,16,-65,7,139,127
149,41,238,112,-50,38,171,162
171,38,323,188,-23,72,186,162
161,36,320,194,-27,69,230,189
174,40,260,142,-72,14,119,107
162,39,310,181,-14,58,178,158
159,37,321,197,-13,65,213,189
165,40,284,168,106,23,145,120
166,40,226,121,-85,34,156,148
165,40,224,118,-86,45,171,168
171,40,318,215,-7,67,165,165
174,39,334,207,-10,69,190,178
162,39,296,142,115,24,130,103
158,41,204,106,45,22,213,185
185,42,340,233,1,59,129,129
168,41,322,201,8,61,185,177
174,37,309,139,-59,21,89,79
181,41,285,44,-57,12,119,106
162,40,244,14,112,11,142,123
154,42,214,115,-74,21,171,171
162,41,285,185,-19,61,200,200
166,38,319,161,137,26,109,85
181,42,281,162,101,20,141,121
161,41,188,89,25,20,215,189
158,39,289,141,113,23,141,114
172,41,250,143,-68,43,123,111
165,41,246,137,-61,46,180,178
167,43,300,201,0,46,162,162
156,40,202,101,15,20,161,155
159,38,312,185,-11,56,171,146
179,41,334,228,3,57,137,137
184,42,274,158,-58,50,124,117
155,40,212,-10,17,11,157,154
116,31,286,141,-11,6,305,289
106,30,272,14,180,9,337,277
103,30,276,18,210,8,322,278
118,31,274,47,199,7,331,293
116,31,274,134,-18,7,322,309
117,31,274,177,-20,9,314,312
114,31,279,83,-13,7,313,306
110,30,280,54,-9,7,321,293
113,31,280,82,-12,7,327,300
117,31,281,137,-17,7,324,304
118,31,275,131,-26,7,324,311
113,32,301,224,10,11,304,301
107,30,299,223,7,11,312,306
113,33,300,224,19,12,315,309
108,32,298,226,19,12,305,299
108,32,295,225,144,12,307,306
112,32,302,226,14,10,297,294
112,33,298,224,141,12,312,308
125,42,325,265,149,18,485,485
110,40,322,267,157,27,538,526
113,40,322,265,153,25,522,512
134,45,330,267,156,23,483,483
133,45,329,266,157,26,526,526
133,45,329,266,156,25,477,477
106,41,320,269,168,36,588,535
133,46,330,268,162,30,524,524
133,47,329,268,169,43,570,570
136,46,333,267,159,32,499,499
134,50,330,268,178,44,573,573
117,43,324,267,166,34,581,547
124,52,330,272,176,59,627,593
110,43,326,268,149,38,495,477
128,44,335,269,165,35,497,497
120,50,329,273,196,51,607,607
123,45,328,267,172,41,525,525
121,50,330,273,197,52,570,570
125,50,330,271,192,47,541,541
132,54,334,270,177,58,570,524
105,45,323,270,167,45,548,548
123,52,330,272,175,59,610,572
109,53,329,274,189,64,617,561
112,52,327,271,180,46,529,521
