Rockiness,Sandiness,VallyBotFlat,PPTann,Loaminess,cvTemp,T0
0,0,2.74,752,0,148,1403.89
0,0,2.71,751,0,148,1532.52
0,0,2.95,749,0,148,1499.69
0,0,2.94,748,0,148,1400.4
0,0,2.89,747,0,148,1415.61
0,0,1.56,748,0,148,1321.65
0,1,5.99,716,0,146,1511.18
0,1,5.99,715,0,146,1820.02
0,1,5.99,715,0,146,2492.28
0,1,5.99,714,0,146,3260.15
0,0,5.99,713,0,146,3441.88
0,0,5.99,713,1,146,2360.92
0,0,5.99,713,1,146,3861.39
0,1,3.53,735,0,147,1415.06
0,1,3.55,735,0,147,1407.89
0,1,3.55,735,0,147,1407.89
0,1,3.52,734,0,147,1400.58
0,1,3.53,735,0,147,2243.61
0,1,3.53,735,0,147,6287.91
0,1,3.52,735,0,147,7127.33
0,1,3.49,735,0,147,6834.61
0,1,3.48,735,0,147,4359.98
0,1,3.43,736,0,147,2702.88
0,1,3.41,736,0,147,4264.21
0,1,2.91,736,0,147,4227.16
0,1,0.61,751,0,145,5060.47
0,1,0,752,0,145,5016.21
0,1,0,752,0,145,3161.26
0,1,1.6,753,0,145,3216.84
0,1,0.56,753,0,145,6344.6
0,1,0,755,0,145,7156.45
0,1,0,756,0,145,4805.37
0,1,0,756,0,145,4263.51
0,1,0,757,0,145,4427.48
0,1,0,757,0,145,4655.32
0,1,0,758,0,145,3798.15
0,0,0,758,0,145,2355.52
0,0,0,759,0,145,1415.34
0,0,0,759,1,145,8183.12
0,0,0,764,1,145,7619.39
0,0,0.56,748,1,145,6210.64
0,0,0.57,748,1,145,6533.1
0,0,1.88,747,1,145,2859.03
0,0,1.88,747,0,145,2859.03
0,0,1.86,748,0,145,1328.66
0,1,0.54,751,0,145,1413.24
0,1,0.54,751,0,145,1413.24
0,0,2.8,785,1,149,9972.7
0,0,2.87,785,1,149,10543.73
0,0,2.79,785,1,149,10882.33
0,0,2.79,785,1,149,10882.33
0,0,2.79,785,0,149,10882.33
90,1,0,630,0,157,2140.86
85,1,0,620,0,157,5148.32
80,1,0,610,0,157,1079.62
75,1,1.95,602,0,157,1903.48
65,1,0.87,598,0,157,6808.33
80,1,0,596,0,157,7234.22
0,1,0,596,0,157,7234.22
90,1,0,745,0,155,2015.51
80,1,0,743,0,155,3285.47
90,1,0,731,0,155,1709.08
95,1,0,726,0,155,1248.52
80,1,0,719,0,155,558.48
0,1,0,719,0,155,558.48
0,1,0,770,0,148,3574.9
0,1,0.57,769,0,148,3636.22
0,1,0.58,767,0,148,3369.3
0,1,0.58,767,0,148,3369.3
0,1,0,764,0,148,2686.68
0,1,0,760,0,148,2701.2
0,1,0,756,0,148,1585.69
0,1,0,752,0,148,1415.11
0,1,1.78,749,0,148,1414.89
0,1,1.83,748,0,148,1407.11
0,1,2.43,747,0,148,3644.37
0,1,5.99,718,0,147,1940.75
0,1,5.99,718,0,147,2292.22
0,1,5.99,719,0,147,2802.24
0,1,5.98,719,0,147,3100.64
0,1,5.98,720,0,147,3023.72
0,1,5.98,720,0,147,3023.72
80,1,0,763,0,145,8766.13
95,1,0,757,0,145,10881.86
80,1,0,757,0,145,10881.86
80,1,0,746,0,145,10710.72
70,1,0,743,0,145,10664.66
40,1,0,743,0,145,10664.66
20,0,0,743,0,145,10664.66
40,0,0,724,0,145,9985.54
10,0,0,718,0,145,9306.32
0,1,0,712,0,145,8925
20,1,0.71,706,0,144,9052.52
0,1,0.71,706,0,144,9052.52
30,1,2.94,705,0,144,8213.14
0,1,2.63,746,0,148,1366.39
0,0,2.78,748,0,148,1419.21
0,0,1.52,747,0,148,1693.49
0,0,1.56,746,0,148,1649.89
0,0,2.44,747,0,148,2073.85
0,0,0,709,0,145,2560.34
0,0,0.6,710,0,145,2979.4
0,0,0,713,0,145,3076.3
0,1,0,715,0,145,5112.78
0,1,0,715,0,145,5348.04
0,1,0,715,0,145,4663.48
0,0,0.83,713,0,145,3963.68
0,0,0,714,0,145,4514.35
0,0,1.44,772,0,149,2236.5
0,0,0.5,775,1,149,2053.43
0,0,0,776,1,149,2110.3
0,0,0,782,1,149,2494.52
0,0,0,786,1,149,3347.92
0,0,0,795,0,149,5090.43
10,0,0,801,0,149,5118.33
95,1,0,1157,0,147,514.27
0,1,0,732,0,149,1887.33
0,1,1.62,730,0,149,2580.57
0,1,1.89,729,0,149,1382.58
0,1,1.76,729,0,149,1378.64
0,1,1.44,727,0,149,1407.88
0,0,0,777,0,148,5647.52
0,0,0,780,0,148,6915.61
5,0,0,783,0,148,6492.45
10,0,0,785,0,148,5094.13
0,0,0,786,0,148,4538.7
45,0,0,790,0,148,4019.66
95,1,0,666,0,158,193.78
85,1,0,661,0,158,215.38
95,1,0,631,0,158,218.14
95,1,0,610,0,158,548.92
90,1,0,607,0,158,431.72
85,1,0,612,0,158,688.77
20,1,0,622,0,158,167.31
10,1,0,630,0,158,319.18
15,1,0,614,0,158,593.22
10,1,0,602,0,158,1974.35
10,1,1.69,595,0,158,1388.31
0,1,0,598,0,158,1626.6
10,0,0.61,728,0,144,1323.21
10,1,0,745,0,144,3423.71
10,1,0,743,0,144,3899.53
15,0,0.54,740,0,144,4004.79
5,1,0.72,733,0,144,1521.57
5,1,0,732,0,144,1395.17
0,1,0,731,0,144,1395.17
0,1,0,731,0,144,1395.14
0,0,0,730,0,144,5293.45
0,0,0,730,0,144,5788.8
0,0,2.55,730,0,144,6855.95
0,0,2.71,729,0,144,6234.11
0,0,3.94,728,0,144,4545.11
0,1,3.95,727,0,144,1337.04
0,0,2.89,780,1,146,1369.71
0,0,2.78,781,0,146,1877.52
0,0,2.91,780,0,146,1728.77
0,0,2.72,780,0,146,1687.35
95,1,0,1120,0,147,1930.42
90,1,0,1123,0,147,2886.22
95,1,0,1110,0,147,2835.54
85,1,0,1113,0,147,2441.5
50,1,0,1113,0,147,2441.5
45,1,0,1113,0,147,2441.5
70,1,0,1153,0,147,3538.36
95,1,0,1041,0,146,4244.84
95,1,0,1037,0,146,4735.93
95,1,0,1031,0,146,3122.86
95,1,0,1031,0,146,3122.86
95,1,0.66,696,0,158,2918.81
10,1,0,720,0,158,3441.62
85,0,0,733,0,158,3477.34
10,0,0,740,0,158,1834.12
50,1,0,740,0,158,1834.12
95,0,0,739,0,158,9.79
80,0,0,752,0,158,553.2
95,0,0,722,0,158,2425.83
90,1,0,718,0,158,3407.5
90,1,0,740,0,158,114.83
10,1,0,649,0,158,919.67
0,0,0,649,0,158,919.67
5,0,0,649,0,158,919.67
40,1,0,647,0,158,481.03
0,1,0,689,0,157,10877.23
0,1,0.6,689,0,157,10655.95
0,0,1.5,691,0,157,10508.79
0,0,1.48,689,0,157,10614.33
5,0,0.61,689,0,157,10869.43
90,1,0,937,0,150,10882.06
10,1,0,926,0,150,10271.01
90,1,0,969,0,150,1404.67
95,1,0,988,0,150,7399.66
95,1,0,983,0,150,3393.24
95,1,0,976,0,150,1147.36
90,1,0,978,0,150,1162.38
90,1,0,1137,0,151,829.86
85,1,0,1060,0,151,1369.23
60,1,0,1025,0,151,6157.98
80,1,0,1081,0,151,263.32
20,1,0,964,0,151,8172.33
0,1,0,766,0,136,2960.71
40,1,0,766,0,136,3725.2
10,1,0,770,0,136,1803.08
10,1,0,787,0,136,353.08
10,1,0,787,0,136,353.08
10,1,0,787,0,136,353.08
5,1,0,748,0,136,7137.81
0,1,0,737,0,136,5364.52
0,1,0,720,0,136,3271.95
5,1,0,717,0,136,1370.83
0,1,0.61,671,0,138,758.5
0,1,1.56,673,0,138,759.96
0,1,1.49,675,0,138,877.95
0,1,0.58,679,0,138,858.22
0,1,0,685,0,138,910.44
90,1,0,745,0,142,5337.74
80,1,0,727,0,141,1270.54
0,1,0,742,0,141,4209.86
10,1,0.89,703,0,141,2756.38
0,0,0.89,703,0,141,2756.38
0,0,0.89,703,0,141,2756.38
85,1,0,845,0,145,4381.5
85,1,0,845,0,145,4329.83
85,1,0,851,0,145,3660.89
80,1,0,834,0,145,4093.07
0,1,0,845,0,145,2666.07
0,1,0,845,0,145,2840.64
0,1,0,844,0,145,3624.93
0,1,0,827,0,145,1383.56
0,1,0,747,0,145,3632.89
0,1,0,744,0,145,3028.35
0,1,0,745,0,145,7469.99
0,1,0,744,0,145,7347.63
0,1,0,741,0,145,3671.8
0,1,0,741,0,145,3671.8
0,1,0,724,0,145,5612.71
0,1,0,727,0,145,4814.29
0,1,0,727,0,145,4233.92
0,1,0,725,0,145,3485.49
5,1,0,724,0,145,4346.28
5,1,0.54,747,0,146,2860.29
5,1,0,749,0,146,6898.71
5,1,0,749,0,146,7482.63
5,1,0,747,0,146,9661.94
0,1,0,783,0,148,1450.78
0,0,0,787,0,148,2008.74
0,1,0,781,0,148,7656.72
0,1,0,781,0,148,7656.72
0,1,0,781,0,148,7656.72
0,1,0,777,0,149,10496.37
0,1,0,777,0,149,10496.37
0,1,0,778,0,149,10287.73
0,1,0,783,0,149,10441.56
0,1,0,787,0,149,10321.98
0,1,0,855,0,151,1347.31
0,1,0,855,0,151,1347.31
0,1,0,861,0,151,1320.94
0,1,0,861,0,151,1320.94
0,1,0,861,0,151,1320.94
0,1,0,902,0,148,8487.46
95,1,0,841,0,151,6724.56
90,1,0,857,0,151,6868.91
90,1,0,857,0,151,6868.91
95,1,0,835,0,151,7776.47
0,0,4.97,758,0,149,10889.9
0,1,1.47,714,0,145,7796.32
0,1,1.5,706,0,144,7020.39
0,0,2.57,704,0,145,10879.11
40,0,0,726,0,145,6252.73
5,1,1.73,717,0,146,10098.68
5,1,2.42,712,0,145,10697.19
0,0,4.61,712,0,146,6852.67
0,0,4.91,711,0,146,5309.34
0,0,2.73,743,0,147,2602.93
0,0,2.87,768,0,149,10213.81
0,0,4.43,741,0,149,1350.9
15,1,0,959,0,151,8477.57
10,1,0,864,0,150,1410.77
0,1,0,910,0,148,3585
95,1,0,1058,0,150,2545.17
85,1,0,1037,0,151,2721.21
85,1,0,993,0,151,8571.14
10,1,0,1050,0,151,6049.96
5,1,0,982,0,151,1614.96
5,1,0,964,0,151,8172.33
0,1,0,964,0,151,8172.33
0,1,0,964,0,151,8172.33
0,1,0,964,0,151,8172.33
0,1,0,964,0,151,8172.33
0,1,0,964,0,151,8172.33
0,1,0,964,0,151,8172.33
0,1,0,964,0,151,8172.33
0,1,0,964,0,151,8172.33
0,1,0,964,0,151,8172.33
0,1,0,964,0,151,8172.33
15,1,0.65,925,0,151,2676.4
5,0,1.96,829,1,152,1415.49
0,1,0,842,0,152,3001.28
0,1,2.94,799,0,151,2359.63
0,1,0,751,0,150,1312.82
0,0,0,751,0,150,1312.82
0,1,0,762,0,150,3809.41
0,1,0,783,0,150,1320.94
0,0,0.61,769,0,149,1386.13
0,0,0,766,0,149,2251.65
0,0,1.59,706,0,144,8033.61
0,0,0.61,707,0,144,5695.87
0,0,2.58,704,0,145,10886.6
0,0,3.8,703,0,145,10814.25
0,0,2.72,710,1,145,10092.18
0,0,4.61,712,0,146,6852.67
0,0,4.61,712,0,146,6852.67
0,0,3.63,722,0,146,6994.07
0,0,0,726,0,147,1503.63
0,1,2.49,736,0,147,3567.64
0,1,2.44,741,0,147,3574.29
0,1,2.44,741,0,147,3574.29
0,0,1.62,755,0,148,2372.74
0,0,4.8,720,0,149,9550.2
0,1,4.97,715,0,148,5041.57
0,0,5.99,699,0,148,4771.17
0,0,3.62,707,0,149,2144.94
0,0,3.5,712,0,149,1523.24
0,1,0.6,722,0,149,2058.48
0,1,3.88,714,0,149,1403.46
0,1,4.89,717,0,149,5324.33
5,1,2.95,703,0,143,1959.36
0,1,1.96,707,0,144,1342.57
0,1,1.59,715,0,144,2235.26
5,1,3.99,725,0,144,4879.27
5,1,0.5,839,0,145,746.56
0,1,0,892,0,146,154.99
0,1,0,877,0,146,6334.95
50,1,0,818,0,145,4595.81
40,1,0,770,0,145,5465.97
10,1,0,669,0,145,1328.74
5,1,1.81,656,0,145,659.91
0,1,2.41,624,0,145,3451.07
95,1,0,1054,0,147,3601.09
50,1,0.87,750,0,142,10875.39
5,1,0,717,0,141,10882.48
0,1,0,679,0,141,6834.98
0,1,0.8,676,0,141,3769.18
50,1,0,701,0,141,8130.93
50,1,0,724,0,141,8748.51
50,1,0,721,0,141,7270.23
0,0,0,714,0,141,6980.68
40,1,1.93,709,0,140,8124.72
20,1,0,692,0,139,9612.13
0,1,0.57,677,0,139,9506.67
0,1,1.42,671,0,139,10686.72
90,1,0,1037,0,149,1677.96
0,1,3.62,782,0,147,1338.1
0,1,0,747,0,142,1412.34
0,1,1.66,673,0,141,6527.34
0,0,4.96,664,0,141,4012.36
0,0,0,851,0,151,1382.69
0,1,0,796,0,150,8027.68
0,1,1.49,755,0,152,401.09
0,1,0,633,0,155,579.81
0,1,0,596,0,156,517.79
0,1,0.59,586,0,158,585.05
0,1,2.53,555,0,158,436.07
0,1,0,587,0,158,1657.51
0,1,0,595,0,157,618
10,1,0,830,0,151,8216.08
0,0,3.94,774,0,149,1625.2
0,0,4.86,743,0,149,1357.01
0,0,5.99,718,0,147,3406.36
0,0,0,907,0,148,1408.33
95,1,0,791,0,140,3676.34
