depth__cm,temperature__C,oxidation_reduction_potential__Mv,salinity__ppt,water_crowfoot__Ranunculus,rushes__Juncus_or_Scirpus,filamentous_algae,emergent_grass,ivy_leafed_duckweed__Lemna_trisulca,bulrushes__Typha,reeds_Phragmites,marestail__Hippuris,common_duckweed__Lemna_minor
11.25,18.695,-156,1.325,0,0,0,0,0,1,0,0,1
11.66666667,17.36,-27.66666667,3.376666667,1,1,1,0,0,0,0,0,0
30.83333333,19.06333333,-28.66666667,2.61,0,1,0,0,0,0,0,0,1
20,20.6925,-47.5,4.8225,1,1,0,0,0,0,0,0,0
10,20.65,-44,43.5,0,0,0,1,0,0,0,0,0
30,20.0975,-13.25,2.77,1,1,0,0,0,0,0,0,1
10,24.5,-61,3.5,0,1,0,0,0,0,0,0,0
10.83333333,17.78333333,-261.6666667,1.77,0,0,0,0,0,1,0,0,1
17.5,21.605,-43.75,10.12,0,0,0,0,0,0,1,0,0
26.25,21.4075,-26.25,4.48,0,1,0,0,0,0,0,0,0
14.375,21.375,-53.25,10.56,0,0,0,0,0,0,1,0,0
10,18.65666667,-35.66666667,3.906666667,0,1,0,0,0,0,0,0,0
29.375,19.495,-38.75,3.9225,0,0,1,0,0,1,0,0,0
20.625,20.22,-25.5,4.4475,0,1,0,0,0,0,0,0,0
13.75,23.18,-10,3.975,0,1,0,0,0,0,0,0,0
15,16.67,-114.6666667,1.313333333,0,0,0,0,0,1,0,0,0
21.25,20.705,-14.5,3.6025,0,1,0,0,0,0,0,0,0
12.5,21.24333333,-17.33333333,5.63,0,1,0,0,0,0,0,0,0
17.5,22.03,-25,3.37,0,1,0,0,0,0,0,0,0
38.125,20.91,-27.25,4.4425,0,1,0,1,0,0,0,0,0
20,18.37666667,-74,1.296666667,0,0,0,0,1,1,0,1,1
14.375,21.47,-13.75,3.625,0,1,0,0,0,0,0,0,0
8.75,17.655,-49,1.245,0,1,0,0,0,1,0,0,1
31.875,20.725,-44.75,4.965,0,1,0,0,0,0,0,0,0
16.875,17.3175,-282,1.715,0,0,0,0,0,1,0,0,1
17.5,18.8,37,2.93,0,1,0,0,0,0,0,0,0
14.16666667,21.1,-66.66666667,11.54,0,0,0,0,0,0,1,0,0
10,18.15,-80,1.22,0,0,0,0,0,1,0,0,1
35,20.5825,-15.25,3.5975,0,1,0,0,0,0,0,0,0
15,21.5925,-85.25,9.7575,0,0,1,0,0,0,1,0,0
10,17.965,-203.5,1.41,0,0,0,0,0,1,0,0,1
15,18.01666667,-78.33333333,0.923333333,0,1,0,0,0,1,0,0,1
41.25,20.2025,-23.25,15.19,0,1,0,0,0,0,0,0,0
20,20.1625,-21.75,3.8625,0,1,0,0,0,0,0,0,0
31.25,20.75,-86,1.92,0,1,0,0,0,0,0,0,1
17.5,21.3,-61.75,4.5,0,1,0,0,0,0,0,0,0
25,20.81,-70.5,2.865,1,1,0,0,0,0,0,0,0
21.875,21.4,-26.75,4.5075,0,0,0,0,0,0,1,0,0
32.5,20.385,-22.75,4.0925,0,1,0,0,0,0,0,0,0
29.375,22.86,-34.75,2.275,1,1,1,0,0,0,0,0,0
12.5,21.84,-58.66666667,2.47,0,1,0,0,0,0,0,0,0
20,20.74666667,-43.66666667,2.266666667,0,1,0,0,0,0,1,0,1
40,22.01,-42,4.89,0,1,0,0,0,0,0,0,0
15.83333333,21.08,-35.33333333,5.493333333,0,1,0,0,0,0,0,0,0
28.33333333,19.56333333,-18.33333333,3.096666667,0,1,0,0,0,0,1,0,0
12.5,19.155,-86,5.505,0,1,0,0,0,0,0,0,0
23.125,20.345,-15,5.7275,0,1,0,0,0,0,0,0,0
40.625,20.0075,-23.5,4.4525,0,1,0,0,0,0,0,0,0
35,21.275,-47.5,5.135,0,1,0,0,0,0,0,0,0
27.5,20.9875,-18.25,5.78,0,1,0,0,0,0,0,0,0
26.25,20.835,-18.25,5.8025,0,1,0,0,0,0,0,0,0
13.125,20.87,-22.25,5.92,0,1,0,0,0,0,0,0,0
25.625,20.865,-19.5,5.7725,0,1,0,0,0,0,0,0,0
33.125,20.4625,-19.25,6.105,0,1,0,1,0,0,0,0,0
24.375,20.93,-19,5.6625,0,1,0,0,0,0,0,0,0
31.25,20.62,-18.25,6.0125,0,1,0,0,0,0,0,0,0
5,22.63,-22,8.07,0,0,0,0,0,0,0,0,0
35,21.215,-30.5,2.4,0,1,1,0,0,0,0,1,0
14.375,20.9725,-20,5.3125,0,1,0,0,0,0,0,0,0
25,20.82,-28,2.94,0,1,0,0,0,0,1,0,0
21.25,21.1075,-28.25,3.2225,1,1,0,0,0,0,0,0,0
33.75,20.8625,-14.75,5.0725,0,1,0,0,0,0,0,0,0
12.875,21.535,-94.5,2.6175,0,1,0,0,0,0,0,0,0
5.75,21.245,-58,3.045,0,1,0,0,0,0,0,0,0
14.16666667,23.11,-173.6666667,3.033333333,0,1,1,0,0,0,0,1,0
15,23.19,-58,7.63,0,0,0,0,0,0,0,0,0
26.25,20.8525,-20,5.915,0,1,0,0,0,0,0,0,0
17.5,21.32,-52,5.26,0,1,0,0,0,0,0,0,0
35.625,20.13,-20,2.48,1,1,1,0,0,0,1,0,0
16.25,20.2875,-15.5,5.7175,0,1,0,0,0,0,0,0,0
25,20.9575,-19.5,5.84,0,1,0,0,0,0,1,0,0
15,21.38,-41.5,5.305,0,1,0,0,0,0,0,0,0
20,23.185,-21,2.66,0,1,0,0,0,0,1,0,0
13.75,20.9,-47,5.215,0,1,0,0,0,0,0,0,0
9.166666667,23.98,-113,2.73,0,1,1,0,0,0,0,0,0
29.375,20.5275,-19.5,2.4525,0,1,1,0,0,0,1,0,1
17.5,21.365,-49.5,5.27,0,1,0,0,0,0,0,0,0
34.375,21.1025,-20.25,2.5125,1,1,1,0,0,0,1,0,0
25.625,21.9125,-30.5,2.5175,0,1,0,0,0,0,0,0,0
46.25,19.79,-23.5,2.8025,0,0,0,0,0,0,1,0,0
10,23.15666667,-113,2.603333333,1,1,0,0,0,0,0,0,0
46.875,20.1875,-28.5,2.7925,0,1,0,0,0,0,1,0,0
34.375,20.9475,-37,2.4525,0,1,1,0,0,0,1,0,0
15,19.96,-10,4.36,0,1,0,0,0,0,0,0,0
15,20.7,-45.33333333,2.283333333,0,1,0,0,0,0,1,0,0
18.75,18.1375,-27.25,4.4875,0,1,0,0,0,0,1,0,0
20,20.7025,-18.75,5.3825,0,1,0,0,0,0,0,0,0
25.83333333,21.24666667,-42.33333333,3.003333333,0,1,0,0,0,0,0,0,0
51.875,19.82,-27.75,2.845,0,0,0,0,0,0,1,0,0
55.625,20.2675,-19.25,2.8,0,1,0,0,0,0,1,0,0
12.5,22.35,-43.33333333,2.266666667,0,1,0,0,0,0,0,0,0
20,20.935,-48.5,5.205,0,1,0,0,0,0,0,0,0
32.5,21.3175,-33,3.2575,1,1,0,0,0,0,0,0,0
14.16666667,20.45,-66,2.756666667,0,1,0,0,0,0,0,0,1
27.5,20.8975,-21.25,2.4675,0,1,1,0,0,0,1,0,0
51.25,20.18,-20.5,2.8075,0,1,0,0,0,0,1,0,0
7.5,22.51,-58,4.42,0,0,0,0,0,0,0,0,0
32.5,19.89,-53,5.36,0,1,0,0,0,0,0,0,0
